,ngram,PredNext,Freq
952,a,lot,47818
575,a,few,43815
702,a,good,42218
929,a,little,41521
715,a,great,41253
1127,a,new,34085
2028,a,well,31634
2083,a,year,21529
82,a,bit,21321
942,a,long,20745
75,a,big,17071
1967,a,very,16481
350,a,couple,15934
1084,a,much,13190
402,a,day,12226
755,a,he,10822
2012,a,we,10757
978,a,man,10645
1643,a,small,10489
2022,a,week,10480
2087,a,you,10219
2037,a,while,9248
1186,a,part,9084
1872,a,time,8901
2011,a,way,8653
810,a,huge,8153
217,a,chance,8137
1133,a,nice,7972
1877,a,to,7929
25,a,bad,7528
72,a,better,7483
643,a,friend,7168
871,a,large,7152
2060,a,woman,7107
1409,a,real,6612
1066,a,month,6601
1551,a,second,6492
2041,a,whole,6479
1069,a,more,6478
453,a,different,6309
1626,a,single,6284
663,a,game,6010
2062,a,wonderful,5890
234,a,child,5790
111,a,book,5779
651,a,full,5714
1223,a,person,5646
636,a,free,5493
738,a,half,5491
56,a,beautiful,5421
772,a,high,5329
1256,a,place,5294
1682,a,special,5151
1817,a,team,5005
1035,a,million,4960
1589,a,she,4951
1152,a,number,4941
721,a,group,4888
1295,a,possible,4871
973,a,major,4789
688,a,girl,4779
624,a,former,4612
1411,a,really,4611
1319,a,pretty,4607
731,a,guy,4467
1720,a,statement,4428
552,a,far,4355
1936,a,two,4277
1753,a,strong,4260
2088,a,young,4252
546,a,family,4225
981,a,many,4225
1571,a,series,4198
1670,a,soon,4146
152,a,bunch,4137
1603,a,short,4129
616,a,for,4088
183,a,car,4068
748,a,hard,3930
1336,a,problem,3893
653,a,fun,3833
1738,a,story,3789
1044,a,minute,3724
1719,a,state,3724
548,a,fan,3706
1240,a,picture,3703
1081,a,movie,3686
1379,a,quick,3676
1469,a,result,3557
207,a,certain,3492
747,a,happy,3462
792,a,home,3446
1010,a,member,3408
945,a,look,3407
1242,a,piece,3314
1866,a,three,3312
1217,a,perfect,3296
937,a,local,3242
910,a,life,3234
1623,a,simple,3216
1095,a,my,3200
1176,a,pair,3183
850,a,kid,3172
1858,a,third,3120
1061,a,moment,3079
593,a,first,3015
1417,a,recent,2903
20,a,baby,2901
1277,a,point,2891
2072,a,world,2886
1889,a,total,2863
86,a,black,2862
1959,a,variety,2800
1364,a,public,2795
685,a,gift,2765
926,a,list,2714
1856,a,thing,2706
125,a,break,2686
170,a,call,2684
1215,a,percent,2677
1669,a,song,2658
1610,a,show,2657
1622,a,similar,2633
1258,a,plan,2627
805,a,house,2604
1106,a,national,2593
1566,a,sense,2583
956,a,lovely,2574
2039,a,white,2570
500,a,dream,2552
802,a,hot,2535
1510,a,run,2534
1504,a,row,2500
1921,a,trip,2494
997,a,matter,2472
1925,a,TRUE,2458
452,a,difference,2457
1134,a,night,2451
1605,a,shot,2450
1412,a,reason,2448
411,a,decade,2446
1137,a,no,2437
156,a,business,2421
492,a,dozen,2394
901,a,letter,2388
1378,a,question,2383
1994,a,wa,2374
244,a,city,2370
174,a,can,2369
1193,a,party,2345
2066,a,word,2319
780,a,his,2304
256,a,close,2286
1422,a,record,2280
1614,a,sign,2274
1893,a,tough,2273
89,a,blast,2272
2048,a,win,2259
488,a,double,2245
1975,a,video,2213
406,a,deal,2200
1539,a,school,2168
1882,a,ton,2164
1434,a,regular,2155
1229,a,photo,2154
848,a,key,2142
1332,a,private,2088
1756,a,student,2086
1859,a,this,2086
959,a,low,2058
340,a,copy,2057
218,a,change,2048
482,a,dog,2041
883,a,lead,2031
566,a,federal,2029
61,a,beer,2019
96,a,blog,2019
586,a,fine,2014
1224,a,personal,2006
295,a,company,1994
416,a,deep,1991
629,a,four,1987
2043,a,wide,1983
120,a,boy,1979
1296,a,post,1979
1885,a,top,1979
1843,a,that,1977
1022,a,message,1966
1424,a,red,1961
1565,a,senior,1944
1572,a,serious,1940
743,a,handful,1918
300,a,complete,1917
186,a,career,1912
550,a,fantastic,1898
1139,a,non,1898
915,a,light,1893
1996,a,walk,1892
852,a,kind,1884
2058,a,with,1872
1279,a,police,1867
188,a,case,1864
1033,a,mile,1849
1267,a,player,1837
1293,a,positive,1808
954,a,love,1803
288,a,comment,1797
1436,a,relationship,1797
759,a,healthy,1791
1073,a,mother,1787
1451,a,report,1781
761,a,heart,1774
837,a,joke,1772
1009,a,meeting,1766
1792,a,sweet,1764
924,a,link,1758
338,a,cool,1757
1228,a,phone,1753
1618,a,significant,1747
1499,a,room,1736
692,a,glass,1735
1950,a,usual,1718
1518,a,safe,1717
1646,a,smile,1717
413,a,decision,1711
1348,a,project,1697
1778,a,super,1697
212,a,challenge,1694
2077,a,writer,1691
251,a,clear,1682
950,a,loss,1681
116,a,bottle,1666
1130,a,news,1660
272,a,cold,1655
502,a,drink,1641
1281,a,political,1639
923,a,line,1638
78,a,bill,1637
598,a,five,1633
1661,a,solid,1631
684,a,giant,1630
811,a,human,1630
614,a,foot,1628
1935,a,twitter,1627
293,a,community,1615
477,a,do,1607
1874,a,tiny,1592
132,a,brief,1562
1862,a,though,1555
1548,a,season,1554
539,a,fair,1551
1768,a,successful,1551
993,a,massive,1550
64,a,being,1549
1815,a,teacher,1542
247,a,class,1534
1576,a,set,1526
932,a,living,1518
582,a,film,1512
1189,a,particular,1504
773,a,higher,1503
697,a,goal,1497
381,a,cup,1492
756,a,head,1478
1693,a,spokesman,1473
1785,a,surprise,1471
1985,a,visit,1466
589,a,fire,1432
1342,a,professional,1432
640,a,fresh,1429
76,a,bigger,1428
158,a,busy,1426
753,a,have,1424
609,a,follow,1422
1480,a,right,1422
1568,a,separate,1422
569,a,feeling,1407
184,a,card,1402
1552,a,secret,1402
1109,a,natural,1398
119,a,box,1397
292,a,common,1393
398,a,dark,1393
1101,a,nap,1393
478,a,doctor,1391
1714,a,star,1388
2067,a,work,1387
348,a,country,1383
1729,a,step,1380
1656,a,social,1377
1093,a,must,1370
729,a,gun,1368
557,a,fast,1364
877,a,law,1363
412,a,decent,1359
1915,a,tree,1356
1183,a,parent,1355
1468,a,restaurant,1353
2090,a,your,1346
874,a,late,1343
913,a,lifetime,1342
579,a,fight,1336
118,a,bowl,1334
583,a,final,1334
1974,a,victory,1330
872,a,larger,1329
393,a,daily,1328
1942,a,unique,1326
400,a,date,1319
742,a,hand,1319
361,a,crazy,1317
248,a,classic,1311
1455,a,republican,1310
307,a,computer,1309
1300,a,potential,1307
1664,a,some,1305
1100,a,name,1302
237,a,choice,1299
1529,a,saturday,1295
842,a,judge,1291
1141,a,normal,1288
79,a,billion,1287
336,a,conversation,1286
38,a,bar,1277
1007,a,medium,1272
1864,a,thousand,1261
1292,a,position,1258
1051,a,mistake,1253
930,a,live,1246
1683,a,specific,1238
563,a,favorite,1232
1833,a,terrible,1232
1375,a,quarter,1228
1631,a,six,1228
612,a,food,1227
1397,a,rare,1226
1613,a,side,1224
2051,a,winner,1224
1492,a,role,1223
2003,a,warm,1221
1304,a,powerful,1216
220,a,character,1215
1758,a,study,1208
1776,a,sunday,1208
450,a,did,1207
1347,a,program,1206
35,a,band,1204
919,a,lil,1202
1266,a,play,1202
1490,a,rock,1202
1562,a,self,1201
642,a,friday,1200
1932,a,tweet,1199
2082,a,yard,1199
123,a,brand,1193
864,a,lack,1189
884,a,leader,1185
276,a,college,1179
1698,a,spot,1175
27,a,bag,1172
31,a,ball,1171
769,a,her,1159
1992,a,vote,1158
994,a,master,1155
1003,a,mean,1155
804,a,hour,1152
314,a,conference,1151
1797,a,table,1151
696,a,go,1149
1927,a,try,1148
873,a,last,1146
366,a,crime,1145
1146,a,note,1141
1079,a,move,1140
454,a,difficult,1135
1144,a,not,1135
1771,a,sudden,1135
1287,a,popular,1131
390,a,cute,1125
788,a,hole,1120
1021,a,mess,1109
1236,a,pic,1109
660,a,future,1102
711,a,grand,1102
718,a,green,1102
706,a,government,1101
1181,a,paper,1100
1213,a,people,1099
1931,a,tv,1099
424,a,degree,1097
879,a,lawyer,1097
281,a,combination,1095
726,a,guest,1094
530,a,fabulous,1092
800,a,hospital,1092
1584,a,shame,1073
1639,a,slight,1071
1316,a,president,1068
1868,a,ticket,1068
1999,a,wall,1059
1740,a,strange,1056
1642,a,slow,1050
332,a,contract,1049
1171,a,page,1048
572,a,female,1046
2023,a,weekend,1044
138,a,broken,1042
1812,a,tax,1038
1769,a,such,1037
1052,a,mix,1034
238,a,christian,1031
1836,a,test,1029
1478,a,ride,1026
70,a,best,1024
672,a,general,1021
193,a,cat,1015
722,a,growing,1014
803,a,hotel,1012
1259,a,plane,1008
1474,a,review,1001
2019,a,wedding,997
1839,a,text,992
658,a,funny,989
1697,a,sport,989
2046,a,wild,988
1767,a,success,986
99,a,blue,981
1042,a,minor,981
1339,a,product,978
250,a,clean,977
783,a,history,976
1990,a,voice,976
145,a,budget,971
1445,a,reminder,968
133,a,bright,967
274,a,collection,967
265,a,coach,966
1401,a,rather,966
1385,a,race,965
1608,a,shout,963
1149,a,novel,962
812,a,hundred,961
1549,a,seat,958
1658,a,soft,957
1796,a,system,956
764,a,heavy,954
1420,a,recipe,953
1595,a,shirt,953
1894,a,tour,951
1117,a,need,948
507,a,drug,947
1645,a,smart,942
1863,a,thought,941
458,a,direct,938
155,a,bus,937
353,a,court,935
2018,a,website,933
1040,a,mini,931
1056,a,model,929
1072,a,most,929
22,a,back,926
576,a,field,925
403,a,dead,920
1775,a,summer,916
1303,a,power,915
1410,a,reality,913
1517,a,sad,911
81,a,birthday,909
239,a,christmas,909
1891,a,touch,909
1381,a,quiet,908
622,a,form,905
1477,a,rich,905
1673,a,sort,905
1501,a,rough,903
650,a,fucking,899
173,a,campaign,898
865,a,lady,897
1487,a,road,897
2035,a,when,896
240,a,church,894
1062,a,monday,890
1318,a,press,889
1903,a,traditional,889
93,a,blessing,887
1676,a,source,886
1535,a,scene,880
1630,a,situation,878
799,a,horse,874
1644,a,smaller,872
893,a,legal,867
974,a,majority,866
1105,a,nation,863
1285,a,poor,862
570,a,fellow,861
2033,a,what,859
1700,a,square,858
1585,a,share,856
1041,a,minimum,855
1825,a,teenager,854
847,a,just,847
778,a,hint,846
1060,a,mom,845
613,a,fool,843
177,a,candidate,840
1938,a,typical,840
909,a,lie,836
1394,a,random,836
540,a,fairly,834
716,a,greater,833
147,a,building,830
372,a,crowd,830
861,a,la,830
1909,a,train,830
1335,a,pro,827
1861,a,those,824
1089,a,music,822
2007,a,waste,822
2002,a,war,821
270,a,coffee,820
1679,a,space,820
960,a,lower,819
159,a,but,818
1194,a,pas,818
760,a,hearing,815
1898,a,town,815
77,a,bike,812
1058,a,modern,812
922,a,limited,810
1006,a,medical,809
1702,a,st,808
1395,a,range,807
534,a,fact,805
1112,a,nearby,805
1965,a,vehicle,801
1271,a,pleasure,800
1640,a,slightly,798
367,a,criminal,797
774,a,highly,797
264,a,co,792
1840,a,th,792
1901,a,trade,788
37,a,bank,785
801,a,host,785
694,a,global,784
615,a,football,781
430,a,democrat,780
1611,a,shower,780
1002,a,meal,779
2049,a,window,779
704,a,gorgeous,778
1710,a,stand,778
1809,a,taste,777
1020,a,mere,774
836,a,joint,772
1588,a,sharp,771
1865,a,threat,771
878,a,lawsuit,769
561,a,father,768
1220,a,period,765
532,a,facebook,763
882,a,le,763
426,a,delicious,762
630,a,fourth,762
228,a,check,760
845,a,junior,760
1323,a,price,760
1523,a,sale,760
1337,a,process,758
1457,a,request,758
797,a,horrible,757
1739,a,straight,757
388,a,customer,756
900,a,lesson,754
1438,a,relatively,753
1654,a,so,753
254,a,client,751
902,a,level,750
1309,a,pre,746
1694,a,spokeswoman,745
1716,a,start,745
1045,a,miracle,743
104,a,body,742
601,a,flat,742
1413,a,reasonable,740
289,a,commercial,739
42,a,baseball,736
681,a,get,735
1663,a,solution,734
1221,a,permanent,733
1354,a,proper,733
1828,a,temporary,733
1741,a,stranger,732
1749,a,string,731
789,a,holiday,729
1735,a,stop,729
1736,a,store,729
1871,a,tight,728
134,a,brilliant,726
2026,a,weird,726
602,a,flight,725
2009,a,water,720
1268,a,playoff,717
1798,a,tad,716
310,a,concert,713
809,a,hug,713
1343,a,professor,712
1668,a,son,711
95,a,block,708
80,a,bird,702
585,a,financial,699
59,a,bed,698
363,a,creative,698
1547,a,search,695
1302,a,pound,694
1502,a,round,692
693,a,glimpse,691
1202,a,patient,689
301,a,completely,688
1321,a,previous,688
2079,a,written,685
205,a,century,684
2069,a,working,683
1473,a,return,681
662,a,gallon,679
1914,a,treat,679
346,a,could,677
1050,a,mission,676
1834,a,terrific,675
483,a,dollar,674
1968,a,veteran,668
342,a,corner,666
1951,a,vacation,664
371,a,cross,663
501,a,dress,663
370,a,critical,660
397,a,dangerous,658
758,a,health,658
1284,a,pool,658
1264,a,plate,657
858,a,knife,655
1916,a,tremendous,655
944,a,longtime,654
1472,a,retired,653
1946,a,university,650
977,a,male,646
1711,a,standard,645
1191,a,partner,644
1665,a,someone,644
1029,a,middle,643
1119,a,negative,643
1168,a,pack,641
1869,a,tie,641
1876,a,title,641
1097,a,mystery,639
1289,a,portion,638
641,a,freshman,635
1520,a,said,632
1465,a,response,629
2074,a,would,629
1233,a,physical,628
171,a,camera,627
51,a,battle,625
1034,a,military,625
103,a,boat,624
135,a,british,623
1724,a,steady,621
638,a,french,620
324,a,constant,617
506,a,drop,616
917,a,like,614
262,a,club,613
1973,a,victim,612
459,a,director,611
394,a,dance,610
1578,a,seven,610
1179,a,panel,609
455,a,digital,608
619,a,foreign,608
1573,a,service,608
1737,a,storm,608
2016,a,weapon,605
592,a,firm,603
1016,a,mental,602
210,a,chair,600
364,a,credit,595
102,a,board,593
1926,a,truly,592
1140,a,nonprofit,589
1065,a,monster,588
1744,a,street,587
691,a,given,586
1090,a,musical,584
105,a,boil,583
245,a,civil,582
735,a,had,582
1173,a,pain,582
2047,a,will,579
463,a,discussion,578
559,a,fat,578
1884,a,tool,578
710,a,graduate,577
876,a,laugh,576
2050,a,wine,576
1629,a,site,574
232,a,chicken,568
136,a,broad,567
1201,a,path,567
1657,a,society,567
542,a,fake,565
1169,a,package,564
41,a,base,563
770,a,hero,563
1261,a,planned,561
43,a,basic,559
1185,a,parking,559
538,a,failure,556
354,a,cover,555
1685,a,speech,552
131,a,bridge,549
670,a,gay,549
320,a,conservative,547
562,a,favor,546
1937,a,type,542
1330,a,priority,537
1407,a,reader,537
531,a,face,536
1356,a,proposal,535
840,a,journey,534
92,a,blessed,532
1108,a,native,531
1609,a,shoutout,531
754,a,having,530
380,a,culture,528
497,a,dramatic,527
1085,a,multi,527
1453,a,reporter,526
1214,a,per,524
168,a,cake,523
535,a,factor,522
594,a,fish,522
1070,a,morning,522
